player1,player2,results_set,upset_results_set,num_runs_s1,num_non_upset,num_upsets,num_matches,ww_z_s1,p_val_1_s1,p_val_2_s1,num_runs_s2,num_uw,num_ul,ww_z_s2,p_val_1_s2,p_val_2_s2,p_val_1_s1_adj,p_val_2_s1_adj,p_val_1_s2_adj,p_val_2_s2_adj
Dancevic F.,Waske A.,"[('2007-03-10', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Garcia-Lopez G.,"[('2006-10-09', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Hernandez O.,"[('2008-05-20', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Robredo T.,"[('2013-08-29', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Simon G.,"[('2009-08-11', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Vliegen K.,"[('2006-10-11', 'N')]",[],1,,,,,,,,,,,,,
Burgsmuller L.,Dancevic F.,"[('2006-09-26', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Kohlschreiber P.,"[('2009-03-25', 'U')]","[('2009-03-25', 'UW')]",1,,,,,,,,,,,,,
Dancevic F.,Tursunov D.,"[('2007-06-13', 'N'), ('2007-07-29', 'N'), ('2009-06-20', 'N'), ('2009-07-24', 'U')]","[('2009-07-24', 'UW')]",2,3,1,4,1.0,0.15865525393145707,0.31731050786291415,,,,,,,
Carlsen K.,Dancevic F.,"[('2006-06-12', 'U')]","[('2006-06-12', 'UL')]",1,,,,,,,,,,,,,
Andreev I.,Dancevic F.,"[('2009-01-12', 'N'), ('2009-06-16', 'U')]","[('2009-06-16', 'UL')]",2,1,1,2,,,,,,,,,,
Dancevic F.,Schuettler R.,"[('2007-10-03', 'U')]","[('2007-10-03', 'UL')]",1,,,,,,,,,,,,,
Dancevic F.,Mathieu P.H.,"[('2007-10-23', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Verdasco F.,"[('2007-08-09', 'U'), ('2007-09-27', 'N')]","[('2007-08-09', 'UW')]",2,1,1,2,,,,,,,,,,
Dancevic F.,Nieminen J.,"[('2006-08-10', 'N'), ('2006-09-28', 'N'), ('2008-01-03', 'N'), ('2008-01-14', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Lee H.T.,"[('2006-08-02', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Karlovic I.,"[('2014-06-24', 'U'), ('2016-07-13', 'N')]","[('2014-06-24', 'UW')]",2,1,1,2,,,,,,,,,,
Dancevic F.,Djokovic N.,"[('2008-07-23', 'N'), ('2009-03-27', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Malisse X.,"[('2005-08-09', 'N')]",[],1,,,,,,,,,,,,,
Blake J.,Dancevic F.,"[('2007-10-11', 'N'), ('2009-01-20', 'N')]",[],1,,,,,,,,,,,,,
