player1,player2,match_results,results_set,upset_results,results_set_with_dates,upset_results_set_with_dates,or,p_value_fisher,expected_wins_p1,expected_wins_p2,actual_wins_p1,actual_wins_p2
Berlocq C.,Pavel A.,['p2'],['N'],[],['2006-05-22'],['2006-05-22'],nan,1.0,0.45818239092770513,0.5418176090722948,0,1
Pavel A.,Rochus O.,['p1'],['U'],['UW'],['2007-06-12'],['2007-06-12'],nan,1.0,0.38188524998753803,0.6181147500124621,1,0
Kohlschreiber P.,Pavel A.,['p1'],['N'],[],['2007-04-17'],['2007-04-17'],nan,1.0,0.6294601112259461,0.37053988877405386,1,0
Melzer J.,Pavel A.,['p1'],['N'],[],['2006-07-27'],['2006-07-27'],nan,1.0,0.6163051608077786,0.38369483919222136,1,0
Marach O.,Pavel A.,['p2'],['N'],[],['2005-09-15'],['2005-09-15'],nan,1.0,0.21411444726765202,0.785885552732348,0,1
Djokovic N.,Pavel A.,['p1'],['N'],[],['2007-02-21'],['2007-02-21'],nan,1.0,0.8171426772050256,0.1828573227949743,1,0
Mirnyi M.,Pavel A.,['p1'],['N'],[],['2006-10-26'],['2006-10-26'],nan,1.0,0.6966707768187423,0.3033292231812577,1,0
Pavel A.,Rochus C.,['p1'],['N'],[],['2005-08-08'],['2005-08-08'],nan,1.0,0.6477377879511031,0.3522622120488969,1,0
Johansson T.,Pavel A.,['p1'],['N'],[],['2005-10-27'],['2005-10-27'],nan,1.0,0.7056798623063683,0.2943201376936317,1,0
Haas T.,Pavel A.,"['p1', 'p1', 'p1']","['N', 'N', 'N']",[],"['2005-10-17', '2005-10-31', '2006-02-03']","['2005-10-17', '2005-10-31', '2006-02-03']",nan,1.0,2.11124836052072,0.8887516394792796,3,0
Davydenko N.,Pavel A.,['p1'],['N'],[],['2007-07-31'],['2007-07-31'],nan,1.0,0.7451153106982704,0.2548846893017297,1,0
Daniel M.,Pavel A.,['p2'],['N'],[],['2006-05-24'],['2006-05-24'],nan,1.0,0.4568018089078193,0.5431981910921806,0,1
Pavel A.,Stepanek R.,['p1'],['U'],['UW'],['2007-04-23'],['2007-04-23'],nan,1.0,0.3055742108797851,0.6944257891202149,1,0
Kunitsyn I.,Pavel A.,['p1'],['U'],['UW'],['2005-10-14'],['2005-10-14'],nan,1.0,0.4099506578947369,0.5900493421052632,1,0
Nalbandian D.,Pavel A.,['p1'],['N'],[],['2005-08-16'],['2005-08-16'],nan,1.0,0.7374461979913917,0.2625538020086083,1,0
Pashanski B.,Pavel A.,"['p2', 'p1']","['N', 'U']",['UW'],"['2006-09-12', '2007-04-25']","['2006-09-12', '2007-04-25']",0.0,1.0,0.5932805373545356,1.4067194626454642,1,1
Patience O.,Pavel A.,['p2'],['N'],[],['2006-02-01'],['2006-02-01'],nan,1.0,0.3717898064006322,0.6282101935993679,0,1
Del Potro J.M.,Pavel A.,['p1'],['U'],['UW'],['2006-07-18'],['2006-07-18'],nan,1.0,0.43765281173594134,0.5623471882640586,1,0
Cilic M.,Pavel A.,['p2'],['N'],[],['2006-10-24'],['2006-10-24'],nan,1.0,0.4668140428443603,0.5331859571556398,0,1
Haase R.,Pavel A.,['p2'],['N'],[],['2007-07-26'],['2007-07-26'],nan,1.0,0.44760018760748344,0.5523998123925166,0,1
Pavel A.,Troicki V.,['p1'],['N'],[],['2007-07-28'],['2007-07-28'],nan,1.0,0.5714581500077643,0.4285418499922356,1,0
Lee H.T.,Monaco J.,['p2'],['N'],[],['2008-04-22'],['2008-04-22'],nan,1.0,0.19607056936647954,0.8039294306335205,0,1
Kim K.,Lee H.T.,"['p1', 'p2']","['U', 'N']",['UW'],"['2005-07-20', '2007-07-16']","['2005-07-20', '2007-07-16']",0.0,1.0,0.8803648582704434,1.1196351417295567,1,1
Lee H.T.,Youzhny M.,['p1'],['U'],['UW'],['2007-04-17'],['2007-04-17'],nan,1.0,0.15963778950040905,0.840362210499591,1,0
Lee H.T.,Phau B.,['p1'],['N'],[],['2007-09-12'],['2007-09-12'],nan,1.0,0.7970989702712874,0.20290102972871268,1,0
Greul S.,Lee H.T.,"['p2', 'p2']","['N', 'N']",[],"['2006-02-02', '2007-02-15']","['2006-02-02', '2007-02-15']",nan,1.0,0.7481262662494064,1.2518737337505936,0,2
Falla A.,Lee H.T.,['p2'],['N'],[],['2006-08-08'],['2006-08-08'],nan,1.0,0.34116081190283787,0.6588391880971621,0,1
Lee H.T.,Rochus O.,['p2'],['N'],[],['2007-02-26'],['2007-02-26'],nan,1.0,0.31068795513139447,0.6893120448686055,0,1
Benneteau J.,Lee H.T.,"['p2', 'p2']","['N', 'N']",[],"['2006-08-03', '2007-08-03']","['2006-08-03', '2007-08-03']",nan,1.0,0.8316588529837798,1.16834114701622,0,2
Kohlschreiber P.,Lee H.T.,['p1'],['N'],[],['2007-03-09'],['2007-03-09'],nan,1.0,0.5506700167504188,0.44932998324958123,1,0
Lee H.T.,Tursunov D.,"['p2', 'p1']","['N', 'U']",['UW'],"['2006-08-04', '2006-10-05']","['2006-08-04', '2006-10-05']",0.0,1.0,0.83344302152219,1.1665569784778098,1,1
Lee H.T.,Mathieu P.H.,"['p1', 'p2']","['U', 'N']",['UW'],"['2006-06-12', '2007-06-20']","['2006-06-12', '2007-06-20']",0.0,1.0,0.7830971340654813,1.2169028659345185,1,1
Lee H.T.,Minar I.,['p2'],['N'],[],['2008-09-24'],['2008-09-24'],nan,1.0,0.43639962496093343,0.5636003750390667,0,1
Lee H.T.,Malisse X.,"['p2', 'p2']","['N', 'N']",[],"['2005-07-26', '2006-07-19']","['2005-07-26', '2006-07-19']",nan,1.0,0.8154621148479694,1.1845378851520305,0,2
Clement A.,Lee H.T.,"['p2', 'p2']","['U', 'U']","['UL', 'UL']","['2006-06-19', '2006-08-14']","['2006-06-19', '2006-08-14']",inf,0.3333333333333333,1.1833657689407682,0.8166342310592318,0,2
Lee H.T.,Mirnyi M.,"['p1', 'p1']","['U', 'N']",['UW'],"['2007-06-19', '2007-12-31']","['2007-06-19', '2007-12-31']",0.0,0.3333333333333333,0.8961729097607756,1.1038270902392244,2,0
Johansson T.,Lee H.T.,['p1'],['U'],['UW'],['2007-04-23'],['2007-04-23'],nan,1.0,0.42297784647089126,0.5770221535291088,1,0
Ancic M.,Lee H.T.,['p1'],['N'],[],['2006-09-16'],['2006-09-16'],nan,1.0,0.6909254267744834,0.3090745732255166,1,0
Davydenko N.,Lee H.T.,['p1'],['N'],[],['2007-01-02'],['2007-01-02'],nan,1.0,0.8062117958037337,0.19378820419626633,1,0
Lee H.T.,Llodra M.,['p1'],['U'],['UW'],['2008-03-13'],['2008-03-13'],nan,1.0,0.35717067471521763,0.6428293252847824,1,0
Lee H.T.,Pless K.,['p1'],['N'],[],['2006-10-04'],['2006-10-04'],nan,1.0,0.6614158284304421,0.3385841715695578,1,0
Lee H.T.,Udomchoke D.,['p1'],['N'],[],['2007-05-21'],['2007-05-21'],nan,1.0,0.6544377567593388,0.3455622432406611,1,0
Lee H.T.,Lu Y.H.,['p1'],['N'],[],['2007-10-02'],['2007-10-02'],nan,1.0,0.7662997459779848,0.23370025402201525,1,0
Lee H.T.,Philippoussis M.,['p1'],['U'],['UW'],['2006-07-18'],['2006-07-18'],nan,1.0,0.3834181382819515,0.6165818617180485,1,0
Lee H.T.,Stepanek R.,['p2'],['N'],[],['2005-09-28'],['2005-09-28'],nan,1.0,0.3802420772437346,0.6197579227562654,0,1
Kunitsyn I.,Lee H.T.,"['p2', 'p2']","['N', 'N']",[],"['2006-09-11', '2007-07-31']","['2006-09-11', '2007-07-31']",nan,1.0,0.6095820120635183,1.3904179879364817,0,2
Henman T.,Lee H.T.,['p1'],['N'],[],['2006-10-07'],['2006-10-07'],nan,1.0,0.6328055856033041,0.3671944143966959,1,0
Gicquel M.,Lee H.T.,['p1'],['U'],['UW'],['2006-01-03'],['2006-01-03'],nan,1.0,0.4416991764195916,0.5583008235804083,1,0
Berrer M.,Lee H.T.,['p2'],['N'],[],['2006-09-14'],['2006-09-14'],nan,1.0,0.3283268809179533,0.6716731190820469,0,1
Lee H.T.,Vassallo-Arguello M.,"['p2', 'p2']","['U', 'N']",['UL'],"['2007-03-21', '2007-04-30']","['2007-03-21', '2007-04-30']",inf,0.3333333333333333,1.1884832451438938,0.8115167548561062,0,2
Lee H.T.,Safin M.,['p1'],['U'],['UW'],['2007-07-21'],['2007-07-21'],nan,1.0,0.33068288119738076,0.6693171188026193,1,0
Federer R.,Lee H.T.,['p1'],['N'],[],['2007-04-19'],['2007-04-19'],nan,1.0,0.9361776490706876,0.06382235092931234,1,0
Bogdanovic A.,Lee H.T.,['p1'],['U'],['UW'],['2007-06-11'],['2007-06-11'],nan,1.0,0.3726827821444461,0.6273172178555539,1,0
Lee H.T.,Zverev M.,['p1'],['N'],[],['2006-06-21'],['2006-06-21'],nan,1.0,0.7254168941907843,0.2745831058092158,1,0
Granollers M.,Lee H.T.,['p1'],['U'],['UW'],['2009-01-05'],['2009-01-05'],nan,1.0,0.44912040450858526,0.5508795954914147,1,0
Lee H.T.,Young D.,['p1'],['N'],[],['2007-07-24'],['2007-07-24'],nan,1.0,0.6902159183304725,0.3097840816695275,1,0
Davydenko N.,Johansson J.,['p2'],['U'],['UL'],['2006-10-18'],['2006-10-18'],nan,1.0,0.6197280936786743,0.3802719063213258,0,1
Davydenko N.,Mello R.,['p1'],['N'],[],['2005-10-03'],['2005-10-03'],nan,1.0,0.8179978498703598,0.18200215012964016,1,0
Davydenko N.,Monaco J.,"['p1', 'p2', 'p1']","['N', 'U', 'N']",['UL'],"['2006-08-03', '2007-05-24', '2008-05-24']","['2006-08-03', '2007-05-24', '2008-05-24']",inf,1.0,2.140740127777197,0.8592598722228035,2,1
Davydenko N.,Dlouhy L.,['p1'],['N'],[],['2005-10-26'],['2005-10-26'],nan,1.0,0.8622860020140988,0.13771399798590134,1,0
Davydenko N.,Mayer F.,"['p1', 'p2', 'p1', 'p1', 'p1', 'p2']","['N', 'U', 'N', 'N', 'N', 'N']",['UL'],"['2006-08-06', '2007-06-14', '2010-10-05', '2011-05-01', '2013-02-11', '2013-07-15']","['2006-08-06', '2007-06-14', '2010-10-05', '2011-05-01', '2013-02-11', '2013-07-15']",0.75,1.0,3.7373985815268536,2.2626014184731464,4,2
Almagro N.,Davydenko N.,"['p1', 'p1']","['N', 'N']",[],"['2011-04-21', '2012-07-19']","['2011-04-21', '2012-07-19']",nan,1.0,1.4048441617700467,0.5951558382299532,2,0
Davydenko N.,Youzhny M.,['p1'],['N'],[],['2013-01-02'],['2013-01-02'],nan,1.0,0.5411140583554377,0.4588859416445623,1,0
Davydenko N.,Simon G.,"['p1', 'p2', 'p2', 'p2', 'p2', 'p2', 'p1', 'p1']","['N', 'U', 'U', 'U', 'N', 'U', 'U', 'U']","['UL', 'UL', 'UL', 'UL', 'UW', 'UW']","['2007-05-17', '2007-07-23', '2007-08-23', '2009-08-20', '2010-11-05', '2011-02-16', '2011-10-31', '2013-08-06']","['2007-05-17', '2007-07-23', '2007-08-23', '2009-08-20', '2010-11-05', '2011-02-16', '2011-10-31', '2013-08-06']",2.2222222222222223,0.6192696192696192,4.47640336339176,3.5235966366082403,3,5
Beck A.,Davydenko N.,['p2'],['N'],[],['2012-02-21'],['2012-02-21'],nan,1.0,0.1883116883116883,0.8116883116883117,0,1
Davydenko N.,Greul S.,"['p1', 'p1']","['N', 'N']",[],"['2007-03-25', '2010-06-08']","['2007-03-25', '2010-06-08']",nan,1.0,1.5238608115320444,0.4761391884679556,2,0
Berlocq C.,Davydenko N.,['p2'],['N'],[],['2006-08-04'],['2006-08-04'],nan,1.0,0.14622950819672131,0.8537704918032787,0,1
Davydenko N.,Rochus O.,"['p1', 'p1', 'p2']","['N', 'N', 'U']",['UL'],"['2006-08-25', '2007-01-04', '2007-02-28']","['2006-08-25', '2007-01-04', '2007-02-28']",inf,1.0,2.1718556225702397,0.8281443774297607,2,1
Benneteau J.,Davydenko N.,"['p1', 'p2']","['U', 'U']","['UW', 'UL']","['2009-02-11', '2014-02-05']","['2009-02-11', '2014-02-05']",0.0,1.0,0.8655982520496321,1.1344017479503679,1,1
Davydenko N.,Tipsarevic J.,"['p1', 'p1', 'p2', 'p1']","['N', 'N', 'N', 'U']",['UW'],"['2007-10-13', '2008-04-03', '2011-10-22', '2013-02-26']","['2007-10-13', '2008-04-03', '2011-10-22', '2013-02-26']",0.6666666666666666,1.0,2.19967444301504,1.8003255569849597,3,1
Davydenko N.,Kohlschreiber P.,"['p2', 'p1', 'p1', 'p1']","['U', 'N', 'N', 'N']",['UL'],"['2006-06-20', '2007-02-23', '2008-04-24', '2009-10-07']","['2006-06-20', '2007-02-23', '2008-04-24', '2009-10-07']",0.6666666666666666,1.0,2.7326971312440964,1.267302868755904,3,1
Davydenko N.,Tursunov D.,"['p1', 'p1', 'p1']","['N', 'N', 'N']",[],"['2005-11-03', '2006-11-02', '2008-01-03']","['2005-11-03', '2006-11-02', '2008-01-03']",nan,1.0,2.199225016485072,0.8007749835149278,3,0
Carlsen K.,Davydenko N.,['p2'],['N'],[],['2006-09-13'],['2006-09-13'],nan,1.0,0.2879442329897789,0.7120557670102211,0,1
